48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
8b7879e818e6203725782b071216a870üMark PuddicküAdvisory Platform Architect, Pivotal
49054ed7bfaa6ce9e4293112d54c4934üLucina StrickoüProduct Manager, Vulk Coop & CNCF
49054ed7bfaa6ce9e4293112d54c4934üDenver WilliamsüProject Co-Lead, cncf.ci, Vulk Coop & CNCF
bb024b7f419fbbb263852e3eb6752244üZhipeng HuangüPrinciple Engineer, Huawei
bb024b7f419fbbb263852e3eb6752244üJustin CapposüProfessor, New York University
415b9c22e4b3dcace6394557feb635e3üStephen AugustusüSr. Cloud Native Architect, VMware
415b9c22e4b3dcace6394557feb635e3üTim PepperüOpen Source Engineer, VMware
01abb30b067144bdc2e1f234c8bb0704üTim HinrichsüCTO, Styra
01abb30b067144bdc2e1f234c8bb0704üTorin SandallüSoftware Engineer, Styra
de325a4e4155f5d947e6f334407f8284üMike DaneseüSoftware Engineer, Google
de325a4e4155f5d947e6f334407f8284üMo KhanüSoftware Engineer, Red Hat, Inc
02009324cde1329caca0150b1c538b34üLizan ZhouüFounding Engineer, Tetrate
d667dc1f72fd4951711063ad9814e816üDeepthi SigireddiüSoftware Engineer, PlanetScale
d667dc1f72fd4951711063ad9814e816üSugu SougoumaraneüCTO, PlanetScale
8878ff533c98a5caac8811255234090aüLucas Servén MarínüSenior Software Engineer, Red Hat
f0da368732ad885b6e622c6ab8b6a061üRob SkillingtonüStaff Software Engineer, Uber
3cbe7d7a65fdcfc87b6ccc2d2caa3cc9üVinay KulkarniüSr. Architect, Futurewei
7570ff5b41389be8a4de33607dc5812eüEvan GilmanüEngineer, Scytale
7570ff5b41389be8a4de33607dc5812eüShaun CramptonüSenior Software Engineer, Tigera
303f668f7a0d81c9e9268d315a05a382üAlex EllisüFounder, OpenFaaS Ltd
303f668f7a0d81c9e9268d315a05a382üJoost NoppenüPrincipal Researcher, BT PLC
1967c04f3cc9d3961966f2c25c013849üBen LambertüCTO, Just Football
1967c04f3cc9d3961966f2c25c013849üKevin LingerfeltüSoftware Engineer, Buoyant
2d6794d24389d804ea3e68ed640a65faüJared WattsüFounding Engineer, Upbound
559d4f7be607ffde959c571496f5c91büAlex ChircopüFounder and CTO, StorageOS
017d35b9f036436f75cf15179a3532d9üSheng YangüSoftware Architect, Rancher Labs
6b9de5e1810411ffd2e5221f7a3dbe18üMatthias GrüterüEngineering Manager, Spotify
b5539e8143ddbd948cfe6a7100139b74üLucas RoeslerüContiamo
e0e4760fe670c10bd7a669dd6c4780a3üKarol GołąbüSoftware Engineer, Google
e0e4760fe670c10bd7a669dd6c4780a3üBeata SkibaüSoftware Engineer, Google
a09a286c525d7ad116a4bcc2a180bd3düDavid AronchicküProgram Manager, Microsoft
a09a286c525d7ad116a4bcc2a180bd3düJeremy LewiüSenior Software Developer, Google
7c1f94de01d27bb0e41b7f071060aefaüClemens VastersüPrincipal Architect, Azure Messaging, Microsoft
7c1f94de01d27bb0e41b7f071060aefaüVlad IonescuüDevOps Consultant, Independent
c291149e77f48f374bb31e65d38be4d5üMichael DucyüDirector of Open Source, Sysdig
f8e476c803ae6f341686411b2f057ff1üTimothy St. ClairüKubernetes Steering Committee Member, VMware
74d23ab25b4faf7e7c63b14fd12ad77cüFrederick F. Kautz IVüHead of Edge Infrastructure, Doc.ai
74d23ab25b4faf7e7c63b14fd12ad77cüNikolay NikolaevüOpen Source Engineer, VMware
bc4d80491a86b422ef6fe8faa60d9eeaüBassam TabbaraüFounder & CEO, Upbound
