TalkId;Name;Role
VM1808:9 de325a4e4155f5d947e6f334407f8284;Michael Danese;Software Engineer, Google
VM1808:9 de325a4e4155f5d947e6f334407f8284;Mo Khan;Software Engineer, Red Hat, Inc
VM1808:9 02009324cde1329caca0150b1c538b34;Lizan Zhou;Founding Engineer, Tetrate
VM1808:9 d667dc1f72fd4951711063ad9814e816;Deepthi Sigireddi;Software Engineer, PlanetScale
VM1808:9 d667dc1f72fd4951711063ad9814e816;Sugu Sougoumarane;CTO, PlanetScale
VM1808:9 8878ff533c98a5caac8811255234090a;Lucas Servén Marín;Senior Software Engineer, Red Hat
VM1808:9 f0da368732ad885b6e622c6ab8b6a061;Rob Skillington;Staff Software Engineer, Uber
VM1808:9 3cbe7d7a65fdcfc87b6ccc2d2caa3cc9;Vinay Kulkarni;Sr. Architect, Futurewei
VM1808:9 7570ff5b41389be8a4de33607dc5812e;Evan Gilman;Engineer, Scytale
VM1808:9 7570ff5b41389be8a4de33607dc5812e;Shaun Crampton;Senior Software Engineer, Tigera
VM1808:9 303f668f7a0d81c9e9268d315a05a382;Alex Ellis;Founder, OpenFaaS Ltd
VM1808:9 303f668f7a0d81c9e9268d315a05a382;Joost Noppen;Principal Researcher, BT PLC
VM1808:9 1967c04f3cc9d3961966f2c25c013849;Ben Lambert;CTO, Just Football
VM1808:9 1967c04f3cc9d3961966f2c25c013849;Kevin Lingerfelt;Software Engineer, Buoyant
VM1808:9 2d6794d24389d804ea3e68ed640a65fa;Jared Watts;Founding Engineer, Upbound
VM1808:9 559d4f7be607ffde959c571496f5c91b;Alex Chircop;Founder and CTO, StorageOS
VM1808:9 017d35b9f036436f75cf15179a3532d9;Sheng Yang;Software Architect, Rancher Labs
VM1808:9 6b9de5e1810411ffd2e5221f7a3dbe18;Matthias Grüter;Engineering Manager, Spotify
VM1808:9 b5539e8143ddbd948cfe6a7100139b74;Lucas Roesler;Contiamo
VM1808:9 e0e4760fe670c10bd7a669dd6c4780a3;Karol Gołąb;Software Engineer, Google
VM1808:9 e0e4760fe670c10bd7a669dd6c4780a3;Beata Skiba;Software Engineer, Google
VM1808:9 a09a286c525d7ad116a4bcc2a180bd3d;David Aronchick;Program Manager, Microsoft
VM1808:9 a09a286c525d7ad116a4bcc2a180bd3d;Jeremy Lewi;Senior Software Developer, Google
VM1808:9 7c1f94de01d27bb0e41b7f071060aefa;Clemens Vasters;Principal Architect, Azure Messaging, Microsoft
VM1808:9 7c1f94de01d27bb0e41b7f071060aefa;Vlad Ionescu;DevOps Consultant, Independent
VM1808:9 c291149e77f48f374bb31e65d38be4d5;Michael Ducy;Director of Open Source, Sysdig
VM1808:9 f8e476c803ae6f341686411b2f057ff1;Timothy St. Clair;Kubernetes Steering Committee Member, VMware
VM1808:9 74d23ab25b4faf7e7c63b14fd12ad77c;Frederick F. Kautz IV;Head of Edge Infrastructure, Doc.ai
VM1808:9 74d23ab25b4faf7e7c63b14fd12ad77c;Nikolay Nikolaev;Open Source Engineer, VMware
VM1808:9 bc4d80491a86b422ef6fe8faa60d9eea;Bassam Tabbara;Founder & CEO, Upbound
